Delta y_MSE phi
1.232846739442065953e+01 9.196652680225564369e-01 -1.347282611007180275e+00
1.384886371393873183e+01 9.282020958268781818e-01 -1.373842552607409617e+00
1.555676143930472222e+01 9.357738036364160461e-01 -1.401017674560956605e+00
1.747528400007684013e+01 9.424415048185226240e-01 -1.428249444328473672e+00
1.963040650040270307e+01 9.487001111678916576e-01 -1.455518087049897158e+00
2.205130739903045622e+01 9.544151413042041288e-01 -1.482805498822521439e+00
2.477076355991711409e+01 9.584093397423896210e-01 -1.510648776392727655e+00
2.782559402207124322e+01 9.641447281577262274e-01 -1.538481757117416748e+00
3.125715849688235082e+01 9.665496871436508597e-01 -1.566290738668881355e+00
3.511191734215130822e+01 9.715847224213826072e-01 -1.594063307307583610e+00
3.944206059437656364e+01 9.736130666198035133e-01 -1.622349929306618810e+00
4.430621457583880130e+01 9.761345855300875840e-01 -1.650580443914101858e+00
4.977023564332111505e+01 9.795429679590239580e-01 -1.678745650120601951e+00
5.590810182512222326e+01 9.798744531295942028e-01 -1.706837376361104219e+00
6.280291441834253163e+01 9.888442056241928402e-01 -1.735415025057275296e+00
7.054802310718642389e+01 9.848560205398245726e-01 -1.763906165824725925e+00
7.924828983539173066e+01 9.933042704216943353e-01 -1.792304901156471342e+00
8.902150854450383122e+01 9.816492301010825150e-01 -1.820605814679522982e+00
1.000000000000000000e+02 9.868963685542158082e-01 -1.848804153429801200e+00
